,asin,cat,rating,reviews,price,vp,fsa_flg,eff_max_str,eff_fast_acting,eff_long_lasting,eff_non_drowsy,eff_kid,count,brand_cat,inch,beni_count,weight_in_ounces,manu2,origin_country,sym_throat,sym_stomach,sym_sneezing,sym_sinus,sym_pain,sym_nose,sym_nausea,sym_nasal,sym_migranie,sym_menstrual,sym_itchy,sym_heart,sym_headache,sym_flu,sym_fever,sym_eyes,sym_digestion,sym_cough,sym_cold,sym_chest,sym_arthritis,sym_allergy,sym_acid,ingre_zinc,ingre_simethicone,ingre_pulsatilla,ingre_phosphorus,ingre_phenylephrine,ingre_perfoliatum,ingre_peppermint,ingre_omeprazole,ingre_naproxen,ingre_menthol,ingre_magnesium,ingre_loratadine,ingre_kali,ingre_ipecacuanha,ingre_ibuprofen,ingre_hydrobromide,ingre_guaifenesin,ingre_gelsemium,ingre_fexofenadine,ingre_famotidine,ingre_eupatorium,ingre_eucalyptus,ingre_esomeprazole,ingre_echinacea,ingre_doxylamine,ingre_diphenhydramine,ingre_dextromethorphan,ingre_chlorpheniramine,ingre_cetirizine,ingre_calcium,ingre_bryonia,ingre_antihistamine,ingre_aluminum,ingre_acetaminophen
52,B0B72DGKVY,cold,4.8,942,19.99,0.24012006003001501,1,1,0,0,0,0,,coricidin hbp,90.61632,0,33.44,bayer,USA,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
54,B088Z2GNQ3,cold,4.8,2230,10.46,0.45889101338432114,1,1,1,0,0,0,24.0,coricidin hbp,16.38273,0,1.28,bayer,USA,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
55,B089TQDCJ6,cold,4.8,14888,9.99,0.4804804804804805,1,0,0,0,1,0,25.0,zicam,22.281875,0,1.76,dwight,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,B005ZD6GTQ,cold,4.8,4541,19.92,0.24096385542168672,1,1,1,0,0,0,48.0,vicks,28.135,0,3.55,pg,USA,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
58,B07CVZL5P3,cold,4.7,1202,9.45,0.49735449735449744,1,0,0,0,0,0,20.0,advil,9.945,0,1.6,gsk,,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,B00E5G5DRU,cold,4.8,11031,12.98,0.3697996918335901,1,1,0,0,0,0,6.0,theraflu,66.43,0,6.4,gsk,USA,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,B07VLK331W,cold,4.7,9417,20.56,0.2285992217898833,1,1,1,0,0,0,,mucinex,41.62708799999999,0,12.16,rb,United Kingdom,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
62,B001JH7WUO,cold,4.7,999,9.71,0.48403707518022654,1,0,0,0,1,0,10.0,nature's way,9.335898,0,1.01,nw,USA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
63,B008IYDZWU,cold,4.8,514,13.65,0.3516483516483516,1,1,1,0,0,0,20.0,mucinex,25.517052,0,0.64,rb,,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
64,B00LJGCQ1U,cold,4.7,3772,10.99,0.42766151046405826,1,0,0,0,1,0,,zicam,17.0775,0,0.5,dwight,USA,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,B0057UUGRU,cold,4.8,17230,21.13,0.22716516800757217,0,1,1,1,0,0,42.0,mucinex,24.15,0,1.92,rb,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,B01FGHSJY0,cold,4.8,3796,20.94,0.2292263610315186,1,0,1,1,1,0,68.0,mucinex,25.03389,0,2.9,rb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,B0C79PD1CF,cold,4.8,2095,10.47,0.4584527220630372,0,1,1,0,0,0,24.0,alka-seltzer plus,17.475476,2,3.17,bayer,Mexico,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
68,B07Y51PNSZ,cold,4.9,3685,33.99,0.14416004707266844,0,0,0,0,0,0,36.0,other,,0,2.0,boiron,,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,B07TBPLWFF,cold,4.6,1009,7.99,0.5757196495619524,1,1,0,0,0,0,24.0,rite aid,,0,,rite,USA,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
70,B00E7WS0HW,cold,4.7,1588,6.99,0.6723891273247496,0,0,0,0,1,0,,goodsense,45.3125,4,16.96,perrigo,USA,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
