,enrollment,indus,national_cancer_institute_(nci)_as_sponsor,location_count,us_lead,include_country_united states,number_of_measures,lead_aes,lead_mtd,lead_dlt,measure_mtd,measure_cmax,measure_os,measure_dor,measure_dlt,measure_aes,measure_tmax,condition_count,intervention_count,biological_included,drug_included,procedure_included,radiation_included,ccat,random,purp_prev,purp_treat,label_open,label_nopen,cross,y_class
109,17.0,0,False,1,1,True,3,0,0,0,False,False,False,False,False,False,False,1,2,False,True,False,True,1,0,0,1,1,0,0,0
110,44.0,1,False,2,0,False,9,0,0,0,False,False,True,False,False,False,False,1,4,False,True,True,False,0,0,0,1,1,0,0,0
111,13.0,0,False,4,0,False,2,0,0,1,False,False,False,False,True,False,False,1,3,False,True,False,False,1,0,0,1,1,0,0,0
112,12.0,1,False,1,0,False,15,0,0,1,True,False,False,False,True,True,False,1,2,False,True,False,False,1,0,0,1,1,0,0,0
113,12.0,0,False,1,1,True,1,0,0,0,False,False,False,False,False,False,False,2,1,False,False,True,False,0,0,0,0,0,0,0,0
114,18.0,0,False,1,1,True,1,0,0,0,False,False,False,False,False,False,False,1,2,False,True,False,False,0,0,0,1,1,0,0,0
115,17.0,0,True,1,1,True,2,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,1
116,14.0,0,False,2,0,False,2,0,0,0,False,False,False,False,False,False,False,2,1,True,False,False,False,0,0,0,1,1,0,0,0
117,1.0,1,False,5,0,False,3,0,0,1,False,False,False,False,True,True,False,1,3,False,True,False,False,1,0,0,1,1,0,0,0
118,6.0,1,False,4,0,False,2,1,0,0,False,False,False,False,False,True,False,1,3,False,True,False,False,1,0,0,1,1,0,0,0
119,7.0,0,False,2,1,True,4,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,1
120,56.0,0,False,1,1,True,6,0,0,0,False,False,True,False,False,False,False,1,3,False,False,True,True,0,0,0,1,1,0,0,0
121,65.0,1,False,3,1,True,10,0,0,1,False,False,False,False,True,True,False,1,6,False,True,False,False,1,0,0,1,1,0,0,1
122,20.0,1,False,1,0,False,7,1,0,0,False,False,True,True,False,True,False,1,2,False,True,False,False,1,0,0,1,1,0,0,0
123,46.0,1,False,15,1,True,15,0,0,0,False,True,True,True,False,True,False,1,1,False,True,False,False,0,0,0,1,1,0,0,0
124,10.0,1,False,8,1,True,26,0,0,0,False,False,False,False,False,False,False,2,2,False,True,False,False,0,0,1,0,1,0,0,0
125,3.0,0,False,1,1,True,6,1,0,0,False,False,True,False,False,True,False,2,3,False,True,False,False,0,0,0,1,1,0,0,0
126,76.0,1,False,9,1,True,12,1,0,0,True,False,False,False,False,True,False,2,2,False,True,False,False,1,0,0,1,1,0,0,0
127,33.0,1,False,2,1,True,2,0,0,0,False,False,False,False,False,False,False,2,4,False,True,False,False,0,0,1,0,1,0,0,1
128,13.0,0,False,1,1,True,2,1,0,0,False,False,False,False,False,True,False,3,4,False,True,False,False,0,0,0,1,1,0,0,0
129,459.0,1,False,69,1,True,6,1,0,0,False,False,False,False,True,True,False,3,3,False,True,False,False,1,0,0,1,1,0,0,1
130,12.0,0,False,1,1,True,7,0,1,0,True,False,True,False,False,False,False,3,5,False,True,False,False,0,1,0,1,1,0,0,0
131,31.0,0,False,3,0,False,1,0,0,0,False,False,False,False,False,False,False,2,6,False,True,False,False,1,0,0,1,1,0,0,0
132,26.0,0,False,1,1,True,1,0,0,0,False,False,False,False,False,False,False,2,3,False,True,False,True,0,0,0,1,1,0,0,0
133,38.0,1,False,5,1,True,7,1,0,0,False,False,True,True,False,True,False,3,5,True,True,False,False,0,0,0,1,1,0,0,0
134,133.0,1,False,12,1,True,10,0,0,1,False,False,False,False,True,True,False,2,2,False,True,False,False,0,0,0,1,1,0,0,0
135,27.0,1,False,16,1,True,29,0,0,1,False,True,True,True,True,False,False,1,2,False,True,False,False,0,1,0,1,1,0,0,0
136,38.0,1,False,13,0,False,15,0,0,0,False,False,False,False,False,False,False,2,5,False,True,True,False,0,1,1,0,1,0,0,1
137,5.0,1,False,6,1,True,6,0,0,0,False,True,False,False,False,False,True,1,3,False,True,False,False,0,0,0,1,1,0,0,0
138,87.0,1,False,7,1,True,5,1,0,0,False,False,False,True,False,True,False,1,1,False,True,False,False,0,0,0,1,1,0,0,0
139,230.0,0,False,2,0,False,2,0,0,0,False,False,False,False,False,False,False,2,1,False,False,True,False,0,1,0,1,0,1,0,0
140,22.0,0,True,1,1,True,4,0,0,0,False,False,False,False,False,False,False,1,4,False,True,False,False,1,0,0,1,1,0,0,1
141,30.0,0,False,1,0,False,8,0,0,0,False,False,False,False,False,False,False,1,1,False,False,True,False,0,0,0,1,1,0,0,0
142,20.0,0,False,1,1,True,1,0,0,0,False,False,False,False,False,False,False,2,4,True,True,False,False,0,0,0,1,0,0,0,0
143,13.0,0,False,2,0,False,7,1,0,0,False,False,True,False,False,True,False,1,2,False,True,False,True,1,1,0,1,1,0,0,0
144,45.0,0,True,1,1,True,1,0,0,0,False,False,False,False,False,False,False,3,3,False,True,False,False,0,0,0,1,1,0,0,1
145,13.0,0,False,1,1,True,4,0,0,0,False,False,False,False,False,False,False,1,2,False,True,False,True,0,0,0,1,1,0,0,1
146,16.0,1,False,2,0,False,3,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,1,0,0,1,1,0,0,0
147,57.0,1,False,1,0,False,42,0,0,1,False,True,False,False,True,False,True,3,12,True,True,False,False,1,0,0,1,1,0,0,1
148,23.0,0,False,1,1,True,2,0,0,0,False,False,False,False,False,False,False,2,1,False,True,False,False,0,0,0,1,1,0,0,1
149,61.0,1,False,1,0,False,4,0,0,1,False,False,False,False,True,False,False,1,3,False,True,False,False,1,0,0,1,1,0,0,0
150,68.0,1,False,1,0,False,5,0,0,0,False,False,False,False,False,False,False,2,2,False,True,False,True,0,0,0,1,1,0,0,0
151,21.0,0,True,1,1,True,4,0,0,0,False,False,False,False,False,False,False,1,2,True,False,False,False,0,0,0,1,1,0,0,0
152,43.0,0,False,1,1,True,3,0,1,0,True,False,True,False,False,False,False,2,2,False,True,False,False,1,0,0,1,1,0,0,1
153,26.0,1,False,8,0,False,6,0,0,0,False,True,False,False,False,True,False,2,2,False,True,False,False,0,0,1,0,1,0,0,0
154,21.0,0,False,1,0,False,2,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,1
155,7.0,1,False,2,0,False,13,1,0,0,False,True,False,True,False,True,True,1,3,False,True,False,False,0,0,0,1,1,0,0,0
156,50.0,0,False,2,0,False,4,0,0,1,False,False,False,False,True,False,False,3,4,False,True,False,False,0,0,0,1,1,0,0,1
157,41.0,0,False,1,0,False,3,0,0,0,False,False,False,False,False,False,False,4,2,False,True,False,False,0,1,0,0,0,1,0,0
158,30.0,0,False,1,0,False,3,0,0,0,False,False,False,False,False,False,False,1,3,True,False,True,False,0,1,0,1,0,1,0,0
159,8.0,0,False,1,1,True,3,1,0,0,False,False,False,False,False,True,False,2,1,False,True,False,False,0,0,0,1,1,0,0,0
160,24.0,0,False,1,0,False,2,0,0,0,False,False,False,False,False,False,False,2,1,False,False,True,False,0,0,0,1,1,0,0,0
161,24.0,0,True,1,1,True,12,0,0,0,False,False,False,False,False,False,False,2,6,False,True,False,False,0,0,0,1,1,0,0,0
162,44.0,1,False,13,1,True,14,0,0,0,False,True,False,False,False,False,True,1,5,False,True,True,False,0,0,0,1,1,0,0,0
163,14.0,1,False,2,1,True,8,1,0,0,False,True,False,False,False,True,True,1,1,False,True,False,False,0,0,0,1,1,0,0,1
164,11.0,0,True,1,1,True,4,0,1,0,True,False,False,False,False,False,False,4,2,True,True,False,False,0,0,0,1,1,0,0,0
165,15.0,1,False,1,0,False,6,1,0,0,False,False,False,False,False,True,False,1,1,False,True,False,False,0,0,0,1,1,0,0,0
